"DATE","MSFT","KO","DD","XOM","GE","IBM","CVX","UTX","PG","CAT","BA","PFE","JNJ","MMM","MRK","AA","DIS","HPQ","MCD","JPM","WMT","AXP","INTC","BAC","TRV","VZ","T","HD","CSCO","UNH","mktrf","smb","hml","rf","umd","SP500"
Apr 2001,0.238857,0.022808,0.110319,0.093827,0.159341,0.19713,0.099772,0.065211,-0.035144,0.138801,0.109316,0.057387,0.103007,0.145428,0.000922,0.151599,0.057692,-0.090822,0.035782,0.076169,0.024554,0.02954,0.174727,0.022831,0.023837,0.124848,-0.069992,0.092807,0.073834,0.104961,0.0795,0.0027,-0.0436,0.0039,-0.0815,0.076814
May 2001,0.021107,0.026196,0.034521,0.006659,0.009685,-0.027792,0.00145,0.069864,0.069775,0.078884,0.020388,-0.006928,0.008603,0.001428,-0.034751,0.045894,0.045289,0.031305,0.101091,0.024385,0.000193,-0.00754,-0.125526,0.068036,0.121951,-0.003995,0.043636,0.046497,0.134276,-0.121869,0.0073,0.0299,0.0277,0.0032,0.0213,0.00509
Jun 2001,0.055218,-0.046835,0.039655,-0.015549,-0.005102,0.010733,-0.057782,-0.120634,-0.006849,-0.075886,-0.115917,-0.066216,0.03146,-0.03778,-0.124401,-0.086906,-0.086338,-0.021828,-0.106341,-0.092574,-0.055652,-0.078822,0.082932,0.013165,0.00751,-0.024613,-0.069454,-0.054778,-0.055036,0.073913,-0.0193,0.0638,-0.0214,0.0028,0.0028,-0.025004
Jul 2001,-0.093288,-0.008889,-0.112355,-0.043847,-0.10441,-0.068938,0.009834,0.001911,0.119122,0.107892,0.052698,0.029214,0.082,-0.019457,0.063683,-0.004315,-0.08792,-0.137762,0.076866,-0.021525,0.145492,0.041495,0.019145,0.059803,-0.135109,0.019346,0.13046,0.082062,0.056044,0.091822,-0.0213,-0.0422,0.0562,0.003,0.0555,-0.010772
Aug 2001,-0.138087,0.091256,-0.03503,-0.033046,-0.057931,-0.048665,0.000109,-0.065054,0.044072,-0.092559,-0.12233,-0.067928,-0.022366,-0.064176,-0.037217,-0.024471,-0.034915,-0.0588,0.030542,-0.090069,-0.140429,-0.09695,-0.061389,-0.033323,-0.041505,-0.076639,-0.091495,-0.086956,-0.150364,0.009493,-0.0646,0.0213,0.0337,0.0031,0.0557,-0.064108
Sep 2001,-0.103068,-0.033696,-0.084208,-0.01868,-0.088336,-0.082341,-0.066116,-0.320175,-0.018341,-0.104,-0.345703,0.046724,0.051034,-0.054755,0.023041,-0.186516,-0.267794,-0.305041,-0.096237,-0.133249,0.031634,-0.202087,-0.268956,-0.041301,-0.01261,0.0822,0.151797,-0.164962,-0.254133,-0.022921,-0.0926,-0.0661,0.018,0.0028,0.1155,-0.081723
Oct 2001,0.136408,0.021985,0.065832,0.001269,-0.021237,0.17826,0.044838,0.158925,0.018821,0.006027,-0.026866,0.044888,0.045307,0.060772,-0.041892,0.045469,-0.001611,0.048598,-0.039425,0.045388,0.038384,0.015485,0.194716,0.010103,0.113537,-0.072353,-0.185776,-0.003649,0.389163,-0.011278,0.0247,0.0688,-0.0703,0.0022,-0.0843,0.018099
Nov 2001,0.104213,-0.015455,0.117529,-0.046134,0.057402,0.07088,-0.032072,0.121266,0.049878,0.060376,0.081902,0.036277,0.008979,0.103468,0.061746,0.196157,0.10113,0.306595,0.038166,0.066742,0.072957,0.118247,0.338247,0.040515,0.025708,-0.056414,-0.019155,0.221554,0.208038,0.086692,0.0754,0.0038,0.0069,0.0017,-0.0857,0.075176
Dec 2001,0.031771,0.004046,-0.041272,0.050802,0.045714,0.046457,0.054111,0.073588,0.021559,0.101856,0.104843,-0.079889,0.014592,0.031681,-0.126937,-0.079016,0.022472,-0.062301,-0.013785,-0.03632,0.044787,0.084473,-0.037048,0.035354,-0.06011,0.009787,0.047886,0.093462,-0.113992,-0.009517,0.016,0.0514,0.0043,0.0015,-3e-04,0.007574
Jan 2002,-0.03834,-0.07211,0.03905,-0.006361,-0.073104,-0.108052,-0.064836,0.063438,0.037028,-0.031005,0.055957,0.045671,-0.026904,-0.060993,0.006463,0.008439,0.016409,0.076436,0.026823,-0.05392,0.042224,0.006725,0.114149,0.001271,0.016602,-0.015276,-0.037369,-0.018036,0.093319,0.050586,-0.0144,0.0112,0.0345,0.0014,0.0369,-0.015574
Feb 2002,-0.084288,0.0832,0.068372,0.063508,0.041184,-0.089258,0.01599,0.064964,0.038075,0.104017,0.126496,-0.013919,0.062076,0.068018,0.03633,0.052162,0.092118,-0.090005,-0.039735,-0.140969,0.033845,0.016736,-0.184646,0.024116,0.09396,0.009709,0.010414,-0.001797,-0.279293,-0.025017,-0.0229,-0.0161,0.0391,0.0013,0.068,-0.020766
Mar 2002,0.033768,0.106985,0.006618,0.061259,-0.027273,0.059927,0.069043,0.017135,0.062507,0.02414,0.049826,-0.029785,0.066502,-0.02476,-0.055438,0.004525,0.003478,-0.104374,0.063218,0.218803,-0.01024,0.123731,0.065149,0.063643,-0.056442,-0.014957,-0.010571,-0.0268,0.186405,0.054628,0.0424,0.043,0.0117,0.0013,-0.0172,0.036739
Apr 2002,-0.133477,0.062189,-0.056204,-0.083505,-0.157543,-0.194615,-0.039437,-0.054313,0.006105,-0.033069,-0.075648,-0.085305,-0.016782,0.093818,-0.05627,-0.098304,0.004333,-0.046823,0.023423,-0.005891,-0.088744,0.003174,-0.059191,0.065569,0.086369,-0.121583,-0.163194,-0.046081,-0.134672,0.149045,-0.052,0.0586,0.0421,0.0015,0.0792,-0.061418
May 2002,-0.025832,0.000901,0.041573,-0.000249,-0.012995,-0.037727,0.014301,-0.015035,-0.007866,-0.043025,-0.03991,-0.044567,-0.036095,0.001987,0.050791,0.032324,-0.011648,0.116374,0.054225,0.024217,-0.031507,0.036576,-0.033904,0.045944,-0.144549,0.072052,0.103992,-0.100927,0.077133,0.034051,-0.0138,-0.0372,0.0254,0.0014,0.0316,-0.009081
